id,kickoff_time_formatted,started,event_day,deadline_time,deadline_time_formatted,team_h_difficulty,team_a_difficulty,code,kickoff_time,team_h_score,team_a_score,finished,minutes,provisional_start_time,finished_provisional,event,team_a,team_h
127,25 Nov 15:00,1,2,2017-11-24T19:00:00Z,24 Nov 19:00,3,3,919020,2017-11-25T15:00:00Z,0,0,1,90,0,1,13,2,16
128,25 Nov 15:00,1,2,2017-11-24T19:00:00Z,24 Nov 19:00,2,4,919021,2017-11-25T15:00:00Z,1,1,1,90,0,1,13,19,17
129,24 Nov 20:00,1,1,2017-11-24T19:00:00Z,24 Nov 19:00,3,3,919022,2017-11-24T20:00:00Z,1,1,1,90,0,1,13,9,20
130,26 Nov 14:00,1,3,2017-11-24T19:00:00Z,24 Nov 19:00,4,3,919013,2017-11-26T14:00:00Z,0,1,1,90,0,1,13,1,4
131,28 Nov 19:45,1,1,2017-11-28T18:45:00Z,28 Nov 18:45,2,2,919025,2017-11-28T19:45:00Z,0,0,1,90,0,1,14,6,3
132,28 Nov 19:45,1,1,2017-11-28T18:45:00Z,28 Nov 18:45,4,3,919026,2017-11-28T19:45:00Z,2,1,1,90,0,1,14,17,9
133,28 Nov 20:00,1,1,2017-11-28T18:45:00Z,28 Nov 18:45,4,3,919027,2017-11-28T20:00:00Z,2,4,1,90,0,1,14,12,18
134,28 Nov 20:00,1,1,2017-11-28T18:45:00Z,28 Nov 18:45,3,2,919028,2017-11-28T20:00:00Z,2,2,1,90,0,1,14,13,19
135,29 Nov 19:45,1,2,2017-11-28T18:45:00Z,28 Nov 18:45,2,4,919024,2017-11-29T19:45:00Z,5,0,1,90,0,1,14,8,1
136,29 Nov 19:45,1,2,2017-11-28T18:45:00Z,28 Nov 18:45,3,3,919023,2017-11-29T19:45:00Z,1,2,1,90,0,1,14,4,2
137,29 Nov 19:45,1,2,2017-11-28T18:45:00Z,28 Nov 18:45,2,4,919029,2017-11-29T19:45:00Z,1,0,1,90,0,1,14,16,5
138,29 Nov 20:00,1,2,2017-11-28T18:45:00Z,28 Nov 18:45,2,3,919030,2017-11-29T20:00:00Z,4,0,1,90,0,1,14,20,7
139,29 Nov 20:00,1,2,2017-11-28T18:45:00Z,28 Nov 18:45,2,5,919031,2017-11-29T20:00:00Z,2,1,1,90,0,1,14,14,11
140,29 Nov 20:00,1,2,2017-11-28T18:45:00Z,28 Nov 18:45,4,2,919032,2017-11-29T20:00:00Z,0,3,1,90,0,1,14,10,15
141,02 Dec 17:30,1,1,2017-12-02T11:30:00Z,02 Dec 11:30,4,4,919034,2017-12-02T17:30:00Z,1,3,1,90,0,1,15,12,1
142,03 Dec 13:30,1,2,2017-12-02T11:30:00Z,02 Dec 11:30,2,3,919033,2017-12-03T13:30:00Z,1,1,1,90,0,1,15,14,2
143,02 Dec 15:00,1,1,2017-12-02T11:30:00Z,02 Dec 11:30,4,2,919035,2017-12-02T15:00:00Z,1,5,1,90,0,1,15,10,3
144,02 Dec 12:30,1,1,2017-12-02T11:30:00Z,02 Dec 11:30,3,4,919036,2017-12-02T12:30:00Z,3,1,1,90,0,1,15,13,5
